,HashedGUID,AUSId,PackageName_AppName,PackageName_AppCategory,DemographicsInfo_Gender,DemographicsInfo_AgeClass,DemographicsInfo_Rurality,DemographicsInfo_Nation,TimeInfoOnStart_Hour,TimeInfoOnStart_WeekDay,TimeInfoOnEnd_Hour,TimeInfoOnEnd_WeekDay,LocationInfoOnStart_Nation,LocationInfoOnStart_RUC,LocationInfoOnEnd_Nation,LocationInfoOnEnd_RUC,DataAccessTechnologyOnStart,DataAccessTechnologyOnEnd,TimeInfoOnStart_Timestamp,TimeInfoOnEnd_Timestamp,AppUsageDuration_InSeconds_mean,BehWeighting
0,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,0008026c2a31b7d1323f2a2a2e42a81e510e30f0da00f70a5923686d6dd604e6,WhatsApp,Communi,Female,25-34,Urban,England,18,Saturday,18,Saturday,England,Urban,England,Urban,WiFi,WiFi,2017-11-11 18:10:53.797 +0000,2017-11-11 18:11:09.835 +0000,15.472,.805001384
1,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,00315e98c9606973dd5960b3544b13c77ef5570a49c4af3fc69487446e2519a7,Twitter,News &,Female,25-34,Urban,England,15,Wednesday,15,Wednesday,England,Urban,England,Urban,WiFi,WiFi,2017-11-22 15:46:03.994 +0000,2017-11-22 15:47:27.685 +0000,83.352,.805001384
2,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,004155d971da39878573d110f6b0384983716c487f3dc72484d067ed0bd3c017,Twitter,News &,Female,25-34,Urban,England,19,Friday,19,Friday,England,Urban,England,Urban,WiFi,WiFi,2017-11-17 19:37:10.537 +0000,2017-11-17 19:38:46.005 +0000,94.839,.805001384
3,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,00f37d485db779c7dc3c8122fe7cdb2351b54e7f7414edde088913d3ceaba999,Twitter,News &,Female,25-34,Urban,England,12,Thursday,12,Thursday,England,Urban,England,Urban,WiFi,WiFi,2017-11-23 12:33:46.693 +0000,2017-11-23 12:34:04.055 +0000,17.363,.805001384
4,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,01777ea4502858e80154247abddc6671b8ce377b068322dc6cfd316d3768eebc,WhatsApp,Communi,Female,25-34,Urban,England,18,Thursday,18,Thursday,England,Urban,England,Urban,WiFi,WiFi,2017-11-16 18:36:25.842 +0000,2017-11-16 18:36:36.102 +0000,10.196,.805001384
5,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,019ca47cba738157c5fd9a508dacc135cf7649ef9e0b8144c6fe38af782cf816,WhatsApp,Communi,Female,25-34,Urban,England,15,Saturday,15,Saturday,England,Urban,England,Urban,4G,4G,2017-11-11 15:59:26.686 +0000,2017-11-11 15:59:43.310 +0000,16.583,.805001384
6,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,01fc4625719967757d58e63f0d11e1a2e8909d89415a4f00261c3484c8686ae6,Twitter,News &,Female,25-34,Urban,England,8,Monday,8,Monday,England,Urban,England,Urban,WiFi,WiFi,2017-11-06 08:28:28.583 +0000,2017-11-06 08:28:48.771 +0000,19.812,.805001384
7,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,0222e03059c4ee444a41e460e5f6ed2a04b428bb832a5808197ce1c320d712ae,Twitter,News &,Female,25-34,Urban,England,11,Monday,11,Monday,England,Urban,England,Urban,WiFi,WiFi,2017-11-06 11:32:38.822 +0000,2017-11-06 11:34:42.751 +0000,123.163,.805001384
8,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,026d48292fdd695793ab554a91651a3332b83e50a6e21a1f927ec56a21e319a7,Instagram,Social,Female,25-34,Urban,England,10,Friday,10,Friday,England,Urban,England,Urban,WiFi,WiFi,2017-11-10 10:05:13.420 +0000,2017-11-10 10:05:24.517 +0000,10.825,.805001384
9,1021c9f81ef8bd87a2dab8ea5d387bf59201af52646f4a35266d2afa26124267,0279f41113b5112e91120df87c658db23db793193ff89fff13324a9a63d1d7c1,Twitter,News &,Female,25-34,Urban,England,0,Sunday,0,Sunday,England,Urban,England,Urban,WiFi,WiFi,2017-11-12 00:25:40.803 +0000,2017-11-12 00:26:23.813 +0000,42.782,.805001384
